vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Toyota,Prius v,2012,car,HYBRID,56,4.86,Austin
Volkswagen,Jetta,2017,car,GASOLINE,47,4.98,Austin
Kia,Soul,2018,car,GASOLINE,35,4.97,Austin
Hyundai,Elantra,2015,car,GASOLINE,43,4.81,Austin
Toyota,Prius,2010,car,HYBRID,90,4.99,Austin
Toyota,Prius,2010,car,HYBRID,75,4.91,Austin
Lexus,HS 250h,2011,car,HYBRID,91,4.86,Austin
FIAT,500,2012,car,GASOLINE,0,,Austin
Kia,Rio,2009,car,GASOLINE,3,5.0,Austin
Toyota,Prius,2010,car,HYBRID,49,4.9,Austin
Honda,Accord,2011,car,GASOLINE,48,4.63,Del Valle
Lexus,CT 200h,2012,car,HYBRID,100,4.95,Austin
BMW,5 Series,2016,car,GASOLINE,20,4.95,Del Valle
BMW,3 Series,2011,car,GASOLINE,11,5.0,Austin
Mercedes-Benz,C-Class,2009,car,GASOLINE,49,4.92,Austin
FIAT,500,2013,car,GASOLINE,24,4.92,Austin
BMW,3 Series,2016,car,GASOLINE,20,4.8,Austin
Mercedes-Benz,CLA-Class,2015,car,GASOLINE,50,4.98,Austin
Lexus,CT 200h,2012,car,HYBRID,0,,Austin
BMW,X1,2013,suv,GASOLINE,25,5.0,Austin
BMW,3 Series,2009,car,GASOLINE,39,5.0,Austin
Mercedes-Benz,CLA-Class,2017,car,GASOLINE,22,4.95,Austin
Hyundai,Elantra GT,2017,car,GASOLINE,3,5.0,Austin
Hyundai,Sonata,2019,car,GASOLINE,26,4.92,Austin
Toyota,Prius c,2012,car,HYBRID,7,3.86,Del Valle
Alfa-romeo,Giulia,2019,car,GASOLINE,39,4.95,Manor
GMC,Sierra 1500,2016,truck,GASOLINE,23,5.0,Austin
Chevrolet,Camaro,2018,car,GASOLINE,4,5.0,Manor
Tesla,Model X,2017,suv,ELECTRIC,18,5.0,Cedar Park
Toyota,Yaris,2008,car,GASOLINE,20,5.0,Austin
BMW,5 Series,2018,car,GASOLINE,10,5.0,Austin
Porsche,Boxster,2014,car,GASOLINE,21,5.0,Austin
Mercedes-Benz,CLA-Class,2018,car,GASOLINE,46,4.87,Manor
Mercedes-benz,GLC-Class,2019,suv,GASOLINE,96,4.91,Austin
Chevrolet,Trax,2018,suv,GASOLINE,18,4.89,Austin
Chevrolet,Corvette,2007,car,GASOLINE,17,5.0,Austin
BMW,4 Series,2018,car,GASOLINE,20,5.0,Austin
Mercedes-Benz,C-Class,2016,car,GASOLINE,2,5.0,Austin
Land Rover,Range Rover Evoque,2015,suv,GASOLINE,6,5.0,Round Rock
Nissan,Sentra,2017,car,GASOLINE,39,4.85,Austin
Ford,Mustang,2016,car,GASOLINE,7,5.0,Austin
Mercedes-Benz,CLA-Class,2017,car,GASOLINE,56,4.93,Manor
Tesla,Model 3,2020,car,ELECTRIC,28,4.96,Leander
Tesla,Model 3,2020,car,ELECTRIC,1,5.0,Round Rock
Ford,Mustang,2014,car,GASOLINE,18,5.0,Austin
Mercedes-Benz,SL-Class,2017,car,GASOLINE,1,5.0,Austin
Audi,S5,2015,car,GASOLINE,14,5.0,Austin
Tesla,Model S,2018,car,ELECTRIC,12,4.83,Lakeway
Toyota,Prius,2008,car,HYBRID,43,4.79,Austin
BMW,M4,2016,car,GASOLINE,0,,Austin
Volkswagen,Atlas Cross Sport,2020,suv,GASOLINE,1,5.0,Austin
Chevrolet,Corvette,2019,car,GASOLINE,88,4.95,Austin
Polaris,Slingshot,2019,car,GASOLINE,17,5.0,Leander
Dodge,Challenger,2015,car,GASOLINE,30,5.0,Round Rock
Ford,Mustang,2018,car,GASOLINE,5,5.0,Round Rock
Dodge,Challenger,2019,car,GASOLINE,30,5.0,Austin
Mercedes-benz,GLC-Class,2019,suv,GASOLINE,1,5.0,Austin
Toyota,4Runner,2016,suv,GASOLINE,15,4.87,Austin
Tesla,Model 3,2018,car,ELECTRIC,13,4.85,Round Rock
Tesla,Model Y,2020,suv,ELECTRIC,0,,Cedar Park
Porsche,Cayenne,2014,suv,GASOLINE,12,4.75,Austin
BMW,5 Series,2014,car,GASOLINE,3,5.0,Round Rock
Mercedes-benz,C-Class,2019,car,GASOLINE,0,,Austin
Mercedes-Benz,E-Class,2017,car,GASOLINE,67,4.99,Austin
Chevrolet,Corvette,2019,car,GASOLINE,53,5.0,Austin
Tesla,Model 3,2019,car,ELECTRIC,14,5.0,Cedar Park
Land Rover,Range Rover Sport,2020,suv,HYBRID,26,5.0,Austin
Audi,TTS,2010,car,GASOLINE,2,5.0,Austin
Toyota,Prius,2009,car,HYBRID,61,4.82,Del Valle
Lexus,ES 350,2009,car,GASOLINE,32,4.66,Del Valle
Toyota,Sequoia,2018,suv,GASOLINE,34,4.97,Austin
Toyota,Camry,2010,car,GASOLINE,82,4.7,Del Valle
Toyota,Camry,2017,car,GASOLINE,49,4.98,Cedar Park
BMW,X6,2016,suv,GASOLINE,5,5.0,Austin
Maserati,Ghibli,2019,car,GASOLINE,3,5.0,Austin
Lincoln,Navigator,2016,suv,GASOLINE,14,4.93,Cedar Park
Acura,MDX,2016,suv,GASOLINE,0,,Austin
Chevrolet,Equinox,2019,suv,GASOLINE,50,5.0,Austin
Honda,Accord Sedan,2019,car,GASOLINE,40,4.8,Cedar Park
